Year,Age Group,Race_ Ethnicity,State,Contraceptive Type,Eligible,Contraceptive_Use ,RoCU
2015,15-20 year olds,Hispanic,Connecticut,LARC,241722,6200,25.17
2015,15-20 year olds,White,Delaware,LARC,70749,2994,17.78
2015,15-20 year olds,Black,Florida, LARC,33494,1173,18.67
2015,15-20 year olds,Asian,Georgia,LARC,74390,5358,18.56
2015,15-20 year olds,Alaskan Native / American Indian,Hawaii, LARC,2813,208,26.79
2015,15-20 year olds,Other Asian / Pacific Islander,Idaho,LARC,124734,10917,16.27
2015,15-20 year olds,Hispanic,Illinois,Most/Moderately Effective,241722,33732,19.08
2015,15-20 year olds,White,Indiana, Most/Moderately Effective,70749,21034,29.90
2015,15-20 year olds,Black,Iowa,Most/Moderately Effective,33494,7609,46.78
2015,15-20 year olds,Asian,Kansas, Most/Moderately Effective,74390,32695,10.16
2015,15-20 year olds,Alaskan Native / American Indian,Kentucky, Most/Moderately Effective,2813,1071,40.67
2015,15-20 year olds,Other Asian / Pacific Islander,Louisiana,Most/Moderately Effective,124734,58952,9.16
2015,15-20 year olds,Hispanic,Maine,LARC,241722,6200,17.65
2015,15-20 year olds,White,Maryland,LARC,70749,2994,17.07
2015,15-20 year olds,Black,Massachusetts, LARC,33494,1173,26.45
2015,15-20 year olds,Asian,Michigan,LARC,74390,5358,6.07
2015,15-20 year olds,Alaskan Native / American Indian,Minnesota, LARC,2813,208,37.08
2015,15-20 year olds,Other Asian / Pacific Islander,Mississippi,LARC,124734,10917,37.56
2015,15-20 year olds,Hispanic,Missouri,Most/Moderately Effective,241722,33732,19.01
2015,15-20 year olds,White,Montana, Most/Moderately Effective,70749,21034,26.56
2015,15-20 year olds,Black,Nebraska,Most/Moderately Effective,33494,7609,17.67
2015,15-20 year olds,Asian,Nevada, Most/Moderately Effective,74390,32695,19.56
2015,15-20 year olds,Alaskan Native / American Indian,New Hampshire, Most/Moderately Effective,2813,1071,27.01
2015,15-20 year olds,Other Asian / Pacific Islander,New Jersey,Most/Moderately Effective,124734,58952,9.09
2015,15-20 year olds,Hispanic,New Mexico,LARC,241722,6200,47.41
2015,15-20 year olds,White,New York,LARC,70749,2994,18.56
2015,15-20 year olds,Black,North Carolina, LARC,33494,1173,16.06
2015,15-20 year olds,Asian,North Dakota,LARC,74390,5358,15.35
2015,15-20 year olds,Alaskan Native / American Indian,Ohio, LARC,2813,208,29.99
2015,15-20 year olds,Other Asian / Pacific Islander,Oklahoma,LARC,124734,10917,23.26
2015,15-20 year olds,Hispanic,Oregon,Most/Moderately Effective,241722,33732,27.98
2015,15-20 year olds,White,Pennsylvania, Most/Moderately Effective,70749,21034,41.67
2015,15-20 year olds,Black,Rhode Island,Most/Moderately Effective,33494,7609,26.97
2015,15-20 year olds,Asian,South Carolina, Most/Moderately Effective,74390,32695,17.98
2015,15-20 year olds,Alaskan Native / American Indian,South Dakota, Most/Moderately Effective,2813,1071,30.09
2015,15-20 year olds,Other Asian / Pacific Islander,Tennessee,Most/Moderately Effective,124734,58952,27.67
2015,15-20 year olds,Hispanic,Texas,LARC,241722,6200,19.56
2015,15-20 year olds,White,Utah,LARC,70749,2994,17.45
2015,15-20 year olds,Black,Vermont, LARC,33494,1173,47.56
2015,15-20 year olds,Asian,Virginia,LARC,74390,5358,46.47
2015,15-20 year olds,Alaskan Native / American Indian,Washington, LARC,2813,208,48.08
2015,15-20 year olds,Other Asian / Pacific Islander,West Virginia,LARC,124734,10917,47.89
2015,15-20 year olds,Hispanic,Wisconsin,Most/Moderately Effective,124734,58952,39.14
2015,15-20 year olds,White,Wyoming, Most/Moderately Effective,241722,6200,28.67
2016,15-20 year olds,Hispanic,Alabama, Most/Moderately Effective,286718,39381,68.16
2016,15-20 year olds,White,Alaska, Most/Moderately Effective,75831,22351,78.56
2016,15-20 year olds,Black,Arizona,Most/Moderately Effective,34650,7630,69.45
2016,15-20 year olds,Asian,Arkansas, Most/Moderately Effective,73031,28974,56.45
2016,15-20 year olds,Alaskan Native / American Indian,California,Most/Moderately Effective,2947,1061,57.16
2016,15-20 year olds,Other Asian / Pacific Islander,Colorado, Most/Moderately Effective,117694,55963,47.97
2016,15-20 year olds,Hispanic,Connecticut, LARC,286718,6644,46.89
2016,15-20 year olds,White,Delaware, LARC,75831,2998,36.67
2016,15-20 year olds,Black,Florida,LARC,34650,1058,36.56
2016,15-20 year olds,Asian,Georgia, LARC,73031,4787,37.98
2016,15-20 year olds,Alaskan Native / American Indian,Hawaii,LARC,2947,201,41.09
2016,15-20 year olds,Other Asian / Pacific Islander,Idaho,LARC,117694,9704,38.90
2016,15-20 year olds,Hispanic,Illinois, Most/Moderately Effective,286718,39381,31.14
2016,15-20 year olds,White,Indiana, Most/Moderately Effective,75831,22351,37.67
2016,15-20 year olds,Black,Iowa,Most/Moderately Effective,34650,7630,56.78
2016,15-20 year olds,Asian,Kansas, Most/Moderately Effective,73031,28974,17.67
2016,15-20 year olds,Alaskan Native / American Indian,Kentucky,Most/Moderately Effective,2947,1061,67.98
2016,15-20 year olds,Other Asian / Pacific Islander,Louisiana, Most/Moderately Effective,117694,55963,27.18
2016,15-20 year olds,Hispanic,Maine, LARC,286718,6644,36.05
2016,15-20 year olds,White,Maryland, LARC,75831,2998,28.56
2016,15-20 year olds,Black,Massachusetts,LARC,34650,1058,37.67
2016,15-20 year olds,Asian,Michigan, LARC,73031,4787,16.56
2016,15-20 year olds,Alaskan Native / American Indian,Minnesota,LARC,2947,201,47.56
2016,15-20 year olds,Other Asian / Pacific Islander,Mississippi,LARC,117694,9704,49.99
2016,15-20 year olds,Hispanic,Missouri, Most/Moderately Effective,286718,39381,31.17
2016,15-20 year olds,White,Montana, Most/Moderately Effective,75831,22351,41.45
2016,15-20 year olds,Black,Nebraska,Most/Moderately Effective,34650,7630,29.79
2016,15-20 year olds,Asian,Nevada, Most/Moderately Effective,73031,28974,31.56
2016,15-20 year olds,Alaskan Native / American Indian,New Hampshire,Most/Moderately Effective,2947,1061,39.89
2016,15-20 year olds,Other Asian / Pacific Islander,New Jersey, Most/Moderately Effective,117694,55963,21.87
2016,15-20 year olds,Hispanic,New Mexico, LARC,286718,6644,60.56
2016,15-20 year olds,White,New York, LARC,75831,2998,29.11
2016,15-20 year olds,Black,North Carolina,LARC,34650,1058,27.76
2016,15-20 year olds,Asian,North Dakota, LARC,73031,4787,28.78
2016,15-20 year olds,Alaskan Native / American Indian,Ohio,LARC,2947,201,38.66
2016,15-20 year olds,Other Asian / Pacific Islander,Oklahoma,LARC,117694,9704,36.45
2016,15-20 year olds,Hispanic,Oregon, Most/Moderately Effective,286718,39381,34.01
2016,15-20 year olds,White,Pennsylvania, Most/Moderately Effective,75831,22351,51.56
2016,15-20 year olds,Black,Rhode Island,Most/Moderately Effective,34650,7630,36.87
2016,15-20 year olds,Asian,South Carolina, Most/Moderately Effective,73031,28974,30.01
2016,15-20 year olds,Alaskan Native / American Indian,South Dakota,Most/Moderately Effective,2947,1061,38.78
2016,15-20 year olds,Other Asian / Pacific Islander,Tennessee, Most/Moderately Effective,117694,55963,31.18
2016,15-20 year olds,Hispanic,Texas, LARC,286718,6644,27.67
2016,15-20 year olds,White,Utah, LARC,75831,2998,46.65
2016,15-20 year olds,Black,Vermont,LARC,34650,1058,56.09
2016,15-20 year olds,Asian,Virginia, LARC,73031,4787,58.56
2016,15-20 year olds,Alaskan Native / American Indian,Washington,LARC,2947,201,67.45
2016,15-20 year olds,Other Asian / Pacific Islander,West Virginia,LARC,117694,9704,58.98
2016,15-20 year olds,Hispanic,Wisconsin, Most/Moderately Effective,73031,22351,48.16
2016,15-20 year olds,White,Wyoming, Most/Moderately Effective,2947,7630,57.67
